Sensor_PK,ClimateFK,endDateTime,id,startDateTime,MeterFK,manufacturer,model,SpaceFK,PlugFK,RadiatorFK,BuildingFK
249,,2015-07-23T07:30:01Z,Sensor897,2015-02-02T15:00:01Z,,Maxim,iButton,,,24.0,
250,,2014-03-08T20:30:01Z,Sensor917,2013-09-19T06:00:01Z,,Maxim,iButton,,,25.0,
251,,2014-09-18T12:00:01Z,Sensor918,2014-04-03T11:00:01Z,,Maxim,iButton,,,25.0,
252,,2015-02-02T15:00:01Z,Sensor919,2014-09-18T12:00:01Z,,Maxim,iButton,,,25.0,
253,,2015-07-23T07:30:01Z,Sensor920,2015-02-02T15:00:01Z,,Maxim,iButton,,,25.0,
254,,2014-09-18T12:00:01Z,Sensor910,2014-04-03T11:00:01Z,,Maxim,iButton,,,26.0,
255,,2015-02-02T15:00:01Z,Sensor911,2014-09-18T12:00:01Z,,Maxim,iButton,,,26.0,
256,,2015-07-23T07:30:01Z,Sensor912,2015-02-02T15:00:01Z,,Maxim,iButton,,,26.0,
257,,2015-04-13T13:51:00Z,Sensor1380,2014-08-14T16:19:00Z,,RWE,Contact sensor,,,,2.0
258,,2015-04-28T13:05:00Z,Sensor1381,2014-08-13T16:43:00Z,,RWE,Contact sensor,,,,2.0
259,,2015-02-26T22:03:00Z,Sensor1382,2014-08-13T17:07:00Z,,RWE,Contact sensor,,,,2.0
260,,2015-04-06T02:01:00Z,Sensor1383,2014-08-14T16:20:00Z,,RWE,Contact sensor,,,,2.0
261,,2015-01-06T13:53:00Z,Sensor1431,2014-08-28T18:57:00Z,,RWE,Alarm,,,,2.0
262,,2015-01-06T13:53:00Z,Sensor1442,2014-08-28T18:57:00Z,,RWE,Smoke detector,,,,2.0
263,,2015-05-06T23:30:00Z,Sensor1231,2013-09-02T00:00:00Z,6.0,Smart Metering Solutions,Replacement gas meter,,,,
264,,2015-07-07T10:00:00Z,Sensor1261,2013-10-11T10:30:00Z,7.0,CurrentCost,Mains clamp,,,,
265,,2014-09-02T08:30:00Z,Sensor302,2013-12-03T18:00:00Z,,Onset,Hobo U12,56.0,,,
266,,2015-06-30T20:30:00Z,Sensor303,2014-09-02T09:00:00Z,,Onset,Hobo U12,56.0,,,
267,,2015-04-28T13:27:00Z,Sensor1307,2014-09-09T16:38:00Z,,RWE,Interior motion detector,56.0,,,
268,,2014-09-02T08:45:00Z,Sensor304,2013-12-03T18:00:00Z,,Onset,Hobo pendant,58.0,,,
269,,2015-07-09T15:30:00Z,Sensor305,2014-09-02T09:00:00Z,,Onset,Hobo pendant,58.0,,,
270,,2014-09-02T08:30:00Z,Sensor300,2013-12-03T18:00:00Z,,Onset,Hobo U12,60.0,,,
271,,2015-06-30T20:30:00Z,Sensor301,2014-09-02T09:00:00Z,,Onset,Hobo U12,60.0,,,
272,,2015-04-28T13:28:00Z,Sensor1306,2014-09-09T15:50:00Z,,RWE,Interior motion detector,60.0,,,
273,,2015-07-09T15:15:00Z,Sensor308,2014-09-02T09:00:00Z,,Onset,Hobo pendant,61.0,,,
274,,2015-04-02T00:46:00Z,Sensor1304,2014-09-09T15:44:00Z,,RWE,Interior motion detector,61.0,,,
275,,2014-09-02T08:45:00Z,Sensor298,2013-12-03T18:00:00Z,,Onset,Hobo pendant,67.0,,,
276,,2015-07-09T15:15:00Z,Sensor299,2014-09-02T09:00:00Z,,Onset,Hobo pendant,67.0,,,
277,,2014-09-02T08:45:00Z,Sensor306,2013-12-03T18:00:00Z,,Onset,Hobo pendant,68.0,,,
278,,2015-07-09T15:15:00Z,Sensor307,2014-09-02T09:00:00Z,,Onset,Hobo pendant,68.0,,,
279,,2014-09-02T08:45:00Z,Sensor290,2013-12-03T18:00:00Z,,Onset,Hobo pendant,69.0,,,
280,,2015-07-09T15:15:00Z,Sensor291,2014-09-02T09:00:00Z,,Onset,Hobo pendant,69.0,,,
281,,2014-09-02T08:45:00Z,Sensor296,2013-12-03T18:00:00Z,,Onset,Hobo pendant,70.0,,,
282,,2015-07-09T15:30:00Z,Sensor297,2014-09-02T09:00:00Z,,Onset,Hobo pendant,70.0,,,
283,,2014-09-02T08:45:00Z,Sensor294,2013-12-03T18:00:00Z,,Onset,Hobo pendant,71.0,,,
284,,2015-07-09T15:15:00Z,Sensor295,2014-09-02T09:00:00Z,,Onset,Hobo pendant,71.0,,,
285,,2014-09-02T08:30:00Z,Sensor288,2013-12-03T18:00:00Z,,Onset,Hobo U12,72.0,,,
286,,2015-06-30T20:30:00Z,Sensor289,2014-09-02T09:00:00Z,,Onset,Hobo U12,72.0,,,
287,,2014-09-02T08:30:00Z,Sensor292,2013-12-03T18:00:00Z,,Onset,Hobo U12,73.0,,,
288,,2015-06-30T20:30:00Z,Sensor293,2014-09-02T09:00:00Z,,Onset,Hobo U12,73.0,,,
289,,2015-04-28T13:26:00Z,Sensor1305,2014-09-09T15:47:00Z,,RWE,Interior motion detector,75.0,,,
290,,2014-09-02T08:45:00Z,Sensor286,2013-12-03T18:00:00Z,,Onset,Hobo pendant,77.0,,,
291,,2015-07-09T15:15:00Z,Sensor287,2014-09-02T09:00:00Z,,Onset,Hobo pendant,77.0,,,
292,,,Sensor1477,,,CurrentCost,Individual appliance monitor (IAM),,71.0,,
293,,,Sensor1478,,,CurrentCost,Individual appliance monitor (IAM),,76.0,,
294,,,Sensor1479,,,CurrentCost,Individual appliance monitor (IAM),,77.0,,
295,,,Sensor1480,,,CurrentCost,Individual appliance monitor (IAM),,80.0,,
296,,,Sensor1481,,,CurrentCost,Individual appliance monitor (IAM),,82.0,,
297,,,Sensor1482,,,CurrentCost,Individual appliance monitor (IAM),,83.0,,
298,,,Sensor1483,,,CurrentCost,Individual appliance monitor (IAM),,84.0,,
299,,,Sensor1484,,,CurrentCost,Individual appliance monitor (IAM),,85.0,,
300,,,Sensor1485,,,CurrentCost,Individual appliance monitor (IAM),,92.0,,
301,,2014-03-30T21:30:00Z,Sensor983,2013-10-11T06:00:00Z,,Maxim,iButton,,,27.0,
302,,2014-09-19T06:30:01Z,Sensor984,2014-04-01T15:00:01Z,,Maxim,iButton,,,27.0,
303,,2015-03-10T12:00:01Z,Sensor985,2014-09-30T11:00:01Z,,Maxim,iButton,,,27.0,
304,,2015-08-28T04:30:01Z,Sensor986,2015-03-10T12:00:01Z,,Maxim,iButton,,,27.0,
305,,2013-12-03T18:00:00Z,Sensor987,2013-10-11T06:00:01Z,,Maxim,iButton,,,28.0,
306,,2014-04-01T14:00:00Z,Sensor988,2013-12-03T18:00:00Z,,Maxim,iButton,,,28.0,
307,,2014-09-19T06:30:01Z,Sensor989,2014-04-01T15:00:01Z,,Maxim,iButton,,,28.0,
308,,2015-03-10T12:00:01Z,Sensor990,2014-09-30T11:00:01Z,,Maxim,iButton,,,28.0,
309,,2015-08-28T04:30:01Z,Sensor991,2015-03-10T12:00:01Z,,Maxim,iButton,,,28.0,
310,,2014-03-30T21:30:01Z,Sensor959,2013-10-11T06:00:01Z,,Maxim,iButton,,,29.0,
311,,2014-09-19T06:30:01Z,Sensor960,2014-04-01T15:00:01Z,,Maxim,iButton,,,29.0,
312,,2015-03-10T12:00:01Z,Sensor961,2014-09-30T11:00:01Z,,Maxim,iButton,,,29.0,
313,,2015-08-28T04:30:01Z,Sensor962,2015-03-10T12:00:01Z,,Maxim,iButton,,,29.0,
314,,2014-03-30T21:30:01Z,Sensor963,2013-10-11T06:00:01Z,,Maxim,iButton,,,30.0,
315,,2014-09-19T06:30:01Z,Sensor964,2014-04-01T15:00:01Z,,Maxim,iButton,,,30.0,
316,,2015-03-10T12:00:01Z,Sensor965,2014-09-30T11:00:01Z,,Maxim,iButton,,,30.0,
317,,2015-08-28T04:30:01Z,Sensor966,2015-03-10T12:00:01Z,,Maxim,iButton,,,30.0,
318,,2014-03-30T21:30:01Z,Sensor996,2013-10-11T06:00:01Z,,Maxim,iButton,,,31.0,
319,,2014-09-19T06:30:01Z,Sensor997,2014-04-01T15:00:01Z,,Maxim,iButton,,,31.0,
320,,2015-03-10T12:00:01Z,Sensor998,2014-09-30T11:00:01Z,,Maxim,iButton,,,31.0,
321,,2015-08-28T04:30:01Z,Sensor999,2015-03-10T12:00:01Z,,Maxim,iButton,,,31.0,
322,,2014-03-30T21:30:01Z,Sensor967,2013-10-11T06:00:01Z,,Maxim,iButton,,,32.0,
323,,2014-09-19T06:30:01Z,Sensor968,2014-04-01T15:00:01Z,,Maxim,iButton,,,32.0,
324,,2015-03-10T12:00:01Z,Sensor969,2014-09-30T11:00:01Z,,Maxim,iButton,,,32.0,
325,,2015-08-28T04:30:01Z,Sensor970,2015-03-10T12:00:01Z,,Maxim,iButton,,,32.0,
326,,2014-03-30T21:30:01Z,Sensor1004,2013-10-11T06:00:01Z,,Maxim,iButton,,,33.0,
327,,2014-09-19T06:30:01Z,Sensor1005,2014-04-01T15:00:01Z,,Maxim,iButton,,,33.0,
328,,2015-03-10T12:00:01Z,Sensor1006,2014-09-30T11:00:01Z,,Maxim,iButton,,,33.0,
329,,2015-08-28T04:30:01Z,Sensor1007,2015-03-10T12:00:01Z,,Maxim,iButton,,,33.0,
330,,2014-03-30T21:30:01Z,Sensor992,2013-10-11T06:00:01Z,,Maxim,iButton,,,34.0,
331,,2014-09-19T06:30:01Z,Sensor993,2014-04-01T15:00:01Z,,Maxim,iButton,,,34.0,
332,,2015-03-10T12:00:01Z,Sensor994,2014-09-30T11:00:01Z,,Maxim,iButton,,,34.0,
333,,2015-08-28T04:30:01Z,Sensor995,2015-03-10T12:00:01Z,,Maxim,iButton,,,34.0,
334,,2014-03-30T21:30:01Z,Sensor951,2013-10-11T06:00:01Z,,Maxim,iButton,,,35.0,
335,,2014-09-19T06:30:01Z,Sensor952,2014-04-01T15:00:01Z,,Maxim,iButton,,,35.0,
336,,2015-03-10T12:00:01Z,Sensor953,2014-09-30T11:00:01Z,,Maxim,iButton,,,35.0,
337,,2015-08-28T04:30:01Z,Sensor954,2015-03-10T12:00:01Z,,Maxim,iButton,,,35.0,
338,,2014-03-30T21:30:01Z,Sensor955,2013-10-11T06:00:01Z,,Maxim,iButton,,,36.0,
339,,2014-09-19T06:30:01Z,Sensor956,2014-04-01T15:00:01Z,,Maxim,iButton,,,36.0,
340,,2015-03-10T12:00:01Z,Sensor957,2014-09-30T11:00:01Z,,Maxim,iButton,,,36.0,
341,,2015-08-28T04:30:01Z,Sensor958,2015-03-10T12:00:01Z,,Maxim,iButton,,,36.0,
342,,2014-03-30T21:30:01Z,Sensor945,2013-10-11T06:00:01Z,,Maxim,iButton,,,37.0,
343,,2015-03-10T12:00:01Z,Sensor946,2014-09-30T11:00:01Z,,Maxim,iButton,,,37.0,
344,,2015-08-28T04:30:01Z,Sensor947,2015-03-10T12:00:01Z,,Maxim,iButton,,,37.0,
345,,2014-04-01T14:00:00Z,Sensor948,2013-12-03T18:00:00Z,,Maxim,iButton,,,38.0,
346,,2015-03-10T12:00:01Z,Sensor949,2014-09-30T11:00:01Z,,Maxim,iButton,,,38.0,
347,,2015-08-28T04:30:01Z,Sensor950,2015-03-10T12:00:01Z,,Maxim,iButton,,,38.0,
348,,2014-03-30T21:30:01Z,Sensor1000,2013-10-11T06:00:01Z,,Maxim,iButton,,,39.0,
349,,2014-09-19T06:30:01Z,Sensor1001,2014-04-01T15:00:01Z,,Maxim,iButton,,,39.0,
350,,2015-03-10T12:00:01Z,Sensor1002,2014-09-30T11:00:01Z,,Maxim,iButton,,,39.0,
351,,2015-08-28T04:30:01Z,Sensor1003,2015-03-10T12:00:01Z,,Maxim,iButton,,,39.0,
352,,2014-03-30T21:30:01Z,Sensor923,2013-10-11T06:00:01Z,,Maxim,iButton,,,40.0,
353,,2014-09-19T06:30:01Z,Sensor924,2014-04-01T15:00:01Z,,Maxim,iButton,,,40.0,
354,,2015-03-10T12:00:01Z,Sensor925,2014-09-30T11:00:01Z,,Maxim,iButton,,,40.0,
355,,2015-08-28T04:30:01Z,Sensor926,2015-03-10T12:00:01Z,,Maxim,iButton,,,40.0,
356,,2014-03-30T21:30:01Z,Sensor941,2013-10-11T06:00:01Z,,Maxim,iButton,,,41.0,
357,,2014-09-19T06:30:01Z,Sensor942,2014-04-01T15:00:01Z,,Maxim,iButton,,,41.0,
358,,2015-03-10T12:00:01Z,Sensor943,2014-09-30T11:00:01Z,,Maxim,iButton,,,41.0,
359,,2015-08-28T04:30:01Z,Sensor944,2015-03-10T12:00:01Z,,Maxim,iButton,,,41.0,
360,,2014-04-01T14:00:00Z,Sensor936,2013-12-03T18:00:00Z,,Maxim,iButton,,,42.0,
361,,2014-09-19T06:30:01Z,Sensor937,2014-04-01T15:00:01Z,,Maxim,iButton,,,42.0,
362,,2015-03-10T12:00:01Z,Sensor938,2014-09-30T10:00:01Z,,Maxim,iButton,,,42.0,
363,,2015-08-28T04:30:01Z,Sensor939,2015-03-10T12:00:01Z,,Maxim,iButton,,,42.0,
364,,2015-03-20T01:30:01Z,Sensor940,2014-09-30T11:00:01Z,,Maxim,iButton,,,43.0,
365,,2014-03-30T21:30:01Z,Sensor927,2013-10-11T06:00:01Z,,Maxim,iButton,,,44.0,
366,,2014-09-19T06:30:01Z,Sensor928,2014-04-01T15:00:01Z,,Maxim,iButton,,,44.0,
367,,2015-03-10T12:00:01Z,Sensor929,2014-09-30T11:00:01Z,,Maxim,iButton,,,44.0,
368,,2015-08-28T04:30:01Z,Sensor930,2015-03-10T12:00:01Z,,Maxim,iButton,,,44.0,
369,,2014-03-30T21:30:01Z,Sensor932,2013-10-11T06:00:01Z,,Maxim,iButton,,,45.0,
370,,2014-09-19T06:30:01Z,Sensor933,2014-04-01T15:00:01Z,,Maxim,iButton,,,45.0,
371,,2015-03-10T12:00:01Z,Sensor934,2014-09-30T11:00:01Z,,Maxim,iButton,,,45.0,
372,,2015-08-28T04:30:01Z,Sensor935,2015-03-10T12:00:01Z,,Maxim,iButton,,,45.0,
373,,2015-03-20T00:30:01Z,Sensor931,2014-09-30T10:00:01Z,,Maxim,iButton,,,46.0,
374,,2014-03-30T21:30:01Z,Sensor971,2013-10-11T06:00:01Z,,Maxim,iButton,,,47.0,
375,,2014-09-19T06:30:01Z,Sensor972,2014-04-01T15:00:01Z,,Maxim,iButton,,,47.0,
376,,2015-03-10T12:00:01Z,Sensor973,2014-09-30T11:00:01Z,,Maxim,iButton,,,47.0,
377,,2015-08-28T04:30:01Z,Sensor974,2015-03-10T12:00:01Z,,Maxim,iButton,,,47.0,
378,,2014-03-30T21:30:01Z,Sensor975,2013-10-11T06:00:01Z,,Maxim,iButton,,,48.0,
379,,2014-09-19T06:30:01Z,Sensor976,2014-04-01T15:00:01Z,,Maxim,iButton,,,48.0,
380,,2015-03-10T12:00:01Z,Sensor977,2014-09-30T11:00:01Z,,Maxim,iButton,,,48.0,
381,,2015-08-28T04:30:01Z,Sensor978,2015-03-10T12:00:01Z,,Maxim,iButton,,,48.0,
382,,2014-03-30T21:30:01Z,Sensor979,2013-10-11T06:00:01Z,,Maxim,iButton,,,49.0,
383,,2014-09-19T06:30:01Z,Sensor980,2014-04-01T15:00:01Z,,Maxim,iButton,,,49.0,
384,,2015-03-10T12:00:01Z,Sensor981,2014-09-30T11:00:01Z,,Maxim,iButton,,,49.0,
385,,2015-08-28T04:30:01Z,Sensor982,2015-03-10T12:00:01Z,,Maxim,iButton,,,49.0,
386,,2014-03-30T21:30:01Z,Sensor921,2013-10-11T06:00:01Z,,Maxim,iButton,,,50.0,
387,,2015-03-20T01:30:01Z,Sensor922,2014-09-30T11:00:01Z,,Maxim,iButton,,,50.0,
388,,2015-04-28T13:26:00Z,Sensor1384,2014-09-09T18:04:00Z,,RWE,Contact sensor,,,,3.0
389,,2015-04-28T13:23:00Z,Sensor1385,2014-09-09T20:52:00Z,,RWE,Contact sensor,,,,3.0
390,,2015-04-28T10:18:00Z,Sensor1386,2014-09-10T09:55:00Z,,RWE,Contact sensor,,,,3.0
391,,2014-10-17T20:11:00Z,Sensor1432,2014-09-22T20:11:00Z,,RWE,Alarm,,,,3.0
392,,2014-09-30T09:42:00Z,Sensor1443,2014-09-22T20:11:00Z,,RWE,Smoke detector,,,,3.0
393,,2015-07-06T18:00:00Z,Sensor1262,2013-09-26T10:00:00Z,9.0,CurrentCost,Mains clamp,,,,
394,,2013-12-18T17:30:00Z,Sensor323,2013-09-25T05:00:00Z,,Onset,Hobo U12,83.0,,,
395,,2014-10-16T04:30:00Z,Sensor324,2013-12-18T18:00:00Z,,Onset,Hobo U12,83.0,,,
396,,2015-07-10T07:30:00Z,Sensor325,2014-10-24T16:00:00Z,,Onset,Hobo U12,83.0,,,
397,,2015-03-08T12:47:00Z,Sensor1308,2014-08-29T14:02:00Z,,RWE,Interior motion detector,83.0,,,
398,,2013-12-18T17:45:00Z,Sensor332,2013-09-25T05:00:00Z,,Onset,Hobo pendant,84.0,,,
399,,2014-10-24T10:45:00Z,Sensor333,2013-12-18T18:00:00Z,,Onset,Hobo pendant,84.0,,,
400,,2015-07-10T07:30:00Z,Sensor334,2014-10-24T11:00:00Z,,Onset,Hobo pendant,84.0,,,
401,,2015-02-18T12:59:00Z,Sensor1309,2014-08-29T14:04:00Z,,RWE,Interior motion detector,84.0,,,
402,,2013-12-18T17:30:00Z,Sensor326,2013-09-25T05:00:00Z,,Onset,Hobo U12,90.0,,,
403,,2014-10-16T04:30:00Z,Sensor327,2013-12-18T18:00:00Z,,Onset,Hobo U12,90.0,,,
404,,2015-07-10T07:30:00Z,Sensor328,2014-10-24T16:00:00Z,,Onset,Hobo U12,90.0,,,
405,,2015-04-28T13:07:00Z,Sensor1310,2014-10-15T14:04:00Z,,RWE,Interior motion detector,90.0,,,
406,,2013-12-18T17:45:00Z,Sensor329,2013-09-25T05:00:00Z,,Onset,Hobo pendant,92.0,,,
407,,2014-10-24T10:45:00Z,Sensor330,2013-12-18T18:00:00Z,,Onset,Hobo pendant,92.0,,,
408,,2015-07-10T07:30:00Z,Sensor331,2014-10-24T11:00:00Z,,Onset,Hobo pendant,92.0,,,
409,,2015-04-28T12:04:00Z,Sensor1280,2014-10-15T14:02:00Z,,RWE,Exterior motion detector,92.0,,,
410,,2013-12-18T17:45:00Z,Sensor315,2013-09-25T05:00:00Z,,Onset,Hobo pendant,96.0,,,
411,,2014-10-24T10:45:00Z,Sensor316,2013-12-18T18:00:00Z,,Onset,Hobo pendant,96.0,,,
412,,2014-12-28T12:00:00Z,Sensor317,2014-10-24T11:00:00Z,,Onset,Hobo pendant,96.0,,,
413,,2013-12-18T17:30:00Z,Sensor312,2013-09-25T05:00:00Z,,Onset,Hobo U12,97.0,,,
414,,2014-10-16T05:00:00Z,Sensor313,2013-12-18T18:00:00Z,,Onset,Hobo U12,97.0,,,
415,,2015-07-10T07:30:00Z,Sensor314,2014-10-24T16:00:00Z,,Onset,Hobo U12,97.0,,,
416,,2013-12-18T17:45:00Z,Sensor335,2013-09-25T05:00:00Z,,Onset,Hobo pendant,102.0,,,
417,,2014-10-24T10:45:00Z,Sensor336,2013-12-18T18:00:00Z,,Onset,Hobo pendant,102.0,,,
418,,2015-07-10T07:30:00Z,Sensor337,2014-10-24T11:00:00Z,,Onset,Hobo pendant,102.0,,,
419,,2013-12-18T17:45:00Z,Sensor318,2013-09-25T05:00:00Z,,Onset,Hobo pendant,103.0,,,
420,,2014-10-24T15:45:00Z,Sensor319,2013-12-18T18:00:00Z,,Onset,Hobo pendant,103.0,,,
421,,2015-07-10T07:30:00Z,Sensor320,2014-10-24T16:00:00Z,,Onset,Hobo pendant,103.0,,,
422,,2013-12-18T17:45:00Z,Sensor321,2013-09-25T05:00:00Z,,Onset,Hobo pendant,104.0,,,
423,,2014-10-28T14:45:00Z,Sensor322,2013-12-18T18:00:00Z,,Onset,Hobo pendant,104.0,,,
424,,2013-12-18T17:30:00Z,Sensor309,2013-09-25T05:00:00Z,,Onset,Hobo U12,107.0,,,
425,,2014-10-16T04:30:00Z,Sensor310,2013-12-18T18:00:00Z,,Onset,Hobo U12,107.0,,,
426,,2015-07-10T07:30:00Z,Sensor311,2014-10-24T16:00:00Z,,Onset,Hobo U12,107.0,,,
427,,,Sensor1486,,,CurrentCost,Individual appliance monitor (IAM),,97.0,,
428,,,Sensor1487,,,CurrentCost,Individual appliance monitor (IAM),,99.0,,
429,,,Sensor1488,,,CurrentCost,Individual appliance monitor (IAM),,100.0,,
430,,,Sensor1489,,,CurrentCost,Individual appliance monitor (IAM),,101.0,,
431,,,Sensor1490,,,CurrentCost,Individual appliance monitor (IAM),,102.0,,
432,,,Sensor1491,,,CurrentCost,Individual appliance monitor (IAM),,103.0,,
433,,,Sensor1494,,,CurrentCost,Individual appliance monitor (IAM),,104.0,,
434,,,Sensor1492,,,CurrentCost,Individual appliance monitor (IAM),,108.0,,
435,,,Sensor1493,,,CurrentCost,Individual appliance monitor (IAM),,109.0,,
436,,2014-03-15T20:30:01Z,Sensor1043,2013-09-26T06:00:01Z,,Maxim,iButton,,,52.0,
437,,2014-09-29T10:30:01Z,Sensor1044,2014-04-11T19:00:01Z,,Maxim,iButton,,,52.0,
438,,2015-03-30T10:00:01Z,Sensor1045,2014-10-24T18:00:01Z,,Maxim,iButton,,,52.0,
439,,2015-07-13T16:00:01Z,Sensor1046,2015-03-30T10:00:01Z,,Maxim,iButton,,,52.0,
440,,2014-03-15T20:30:01Z,Sensor1059,2013-09-26T06:00:01Z,,Maxim,iButton,,,53.0,
441,,2014-09-29T10:30:01Z,Sensor1060,2014-04-11T19:00:01Z,,Maxim,iButton,,,53.0,
442,,2015-04-13T09:30:01Z,Sensor1061,2014-10-24T18:00:01Z,,Maxim,iButton,,,53.0,
443,,2014-09-29T10:30:01Z,Sensor1062,2014-04-11T19:00:01Z,,Maxim,iButton,,,55.0,
444,,2015-03-30T10:00:01Z,Sensor1063,2014-10-24T18:00:01Z,,Maxim,iButton,,,55.0,
445,,2015-07-13T16:00:01Z,Sensor1064,2015-03-30T10:00:01Z,,Maxim,iButton,,,55.0,
446,,2014-09-29T10:30:01Z,Sensor1040,2014-04-11T19:00:01Z,,Maxim,iButton,,,56.0,
447,,2015-03-30T10:00:01Z,Sensor1041,2014-10-24T18:00:01Z,,Maxim,iButton,,,56.0,
448,,2015-07-13T16:00:01Z,Sensor1042,2015-03-30T10:00:01Z,,Maxim,iButton,,,56.0,
449,,2014-03-15T20:30:01Z,Sensor1069,2013-09-26T06:00:01Z,,Maxim,iButton,,,57.0,
450,,2014-09-29T10:30:01Z,Sensor1070,2014-04-11T19:00:01Z,,Maxim,iButton,,,57.0,
451,,2015-03-30T10:00:01Z,Sensor1071,2014-10-24T18:00:01Z,,Maxim,iButton,,,57.0,
452,,2015-07-13T16:00:01Z,Sensor1072,2015-03-30T10:00:01Z,,Maxim,iButton,,,57.0,
453,,2014-03-15T20:30:01Z,Sensor1051,2013-09-26T06:00:01Z,,Maxim,iButton,,,58.0,
454,,2014-09-29T10:30:01Z,Sensor1052,2014-04-11T19:00:01Z,,Maxim,iButton,,,58.0,
455,,2015-03-30T10:00:01Z,Sensor1053,2014-10-24T18:00:01Z,,Maxim,iButton,,,58.0,
456,,2015-07-13T15:00:01Z,Sensor1054,2015-03-30T10:00:01Z,,Maxim,iButton,,,58.0,
457,,2014-03-15T20:30:01Z,Sensor1028,2013-09-26T06:00:01Z,,Maxim,iButton,,,59.0,
458,,2014-09-29T10:30:01Z,Sensor1029,2014-04-11T19:00:01Z,,Maxim,iButton,,,59.0,
459,,2015-03-30T10:00:01Z,Sensor1030,2014-10-24T18:00:01Z,,Maxim,iButton,,,59.0,
460,,2015-07-13T15:00:01Z,Sensor1031,2015-03-30T10:00:01Z,,Maxim,iButton,,,59.0,
461,,2014-03-15T20:30:01Z,Sensor1055,2013-09-26T06:00:01Z,,Maxim,iButton,,,60.0,
462,,2014-09-29T10:30:01Z,Sensor1056,2014-04-11T19:00:01Z,,Maxim,iButton,,,60.0,
463,,2015-03-30T10:00:01Z,Sensor1057,2014-10-24T18:00:01Z,,Maxim,iButton,,,60.0,
464,,2015-07-13T16:00:01Z,Sensor1058,2015-03-30T10:00:01Z,,Maxim,iButton,,,60.0,
465,,2014-03-15T20:30:01Z,Sensor1032,2013-09-26T06:00:01Z,,Maxim,iButton,,,61.0,
466,,2014-09-29T10:30:01Z,Sensor1033,2014-04-11T19:00:01Z,,Maxim,iButton,,,61.0,
467,,2015-03-30T10:00:01Z,Sensor1034,2014-10-24T18:00:01Z,,Maxim,iButton,,,61.0,
468,,2015-07-13T16:00:01Z,Sensor1035,2015-03-30T10:00:01Z,,Maxim,iButton,,,61.0,
469,,2014-03-15T20:30:01Z,Sensor1016,2013-09-26T06:00:01Z,,Maxim,iButton,,,62.0,
470,,2014-09-29T10:30:01Z,Sensor1017,2014-04-11T19:00:01Z,,Maxim,iButton,,,62.0,
471,,2015-03-30T10:00:01Z,Sensor1018,2014-10-24T18:00:01Z,,Maxim,iButton,,,62.0,
472,,2015-07-13T15:00:01Z,Sensor1019,2015-03-30T10:00:01Z,,Maxim,iButton,,,62.0,
473,,2014-03-15T20:30:01Z,Sensor1012,2013-09-26T06:00:01Z,,Maxim,iButton,,,63.0,
474,,2014-09-29T10:30:01Z,Sensor1013,2014-04-11T19:00:01Z,,Maxim,iButton,,,63.0,
475,,2015-03-30T10:00:01Z,Sensor1014,2014-10-24T18:00:01Z,,Maxim,iButton,,,63.0,
476,,2015-07-13T15:00:01Z,Sensor1015,2015-03-30T10:00:01Z,,Maxim,iButton,,,63.0,
477,,2014-03-15T20:30:01Z,Sensor1036,2013-09-26T06:00:01Z,,Maxim,iButton,,,64.0,
478,,2014-09-29T10:30:01Z,Sensor1037,2014-04-11T19:00:01Z,,Maxim,iButton,,,64.0,
479,,2015-03-30T10:00:01Z,Sensor1038,2014-10-24T18:00:01Z,,Maxim,iButton,,,64.0,
480,,2015-07-13T16:00:01Z,Sensor1039,2015-03-30T10:00:01Z,,Maxim,iButton,,,64.0,
481,,2014-03-15T20:30:01Z,Sensor1047,2013-09-26T06:00:01Z,,Maxim,iButton,,,65.0,
482,,2014-09-29T10:30:01Z,Sensor1048,2014-04-11T19:00:01Z,,Maxim,iButton,,,65.0,
483,,2015-03-30T10:00:01Z,Sensor1049,2014-10-24T18:00:01Z,,Maxim,iButton,,,65.0,
484,,2015-07-13T15:00:01Z,Sensor1050,2015-03-30T10:00:01Z,,Maxim,iButton,,,65.0,
485,,2014-03-15T20:30:01Z,Sensor1065,2013-09-26T06:00:01Z,,Maxim,iButton,,,66.0,
486,,2014-09-29T10:30:01Z,Sensor1066,2014-04-11T19:00:01Z,,Maxim,iButton,,,66.0,
487,,2015-03-30T10:00:01Z,Sensor1067,2014-10-24T18:00:01Z,,Maxim,iButton,,,66.0,
488,,2015-07-13T16:00:01Z,Sensor1068,2015-03-30T10:00:01Z,,Maxim,iButton,,,66.0,
489,,2014-03-15T20:30:01Z,Sensor1020,2013-09-26T06:00:01Z,,Maxim,iButton,,,67.0,
490,,2014-09-29T10:30:01Z,Sensor1021,2014-04-11T19:00:01Z,,Maxim,iButton,,,67.0,
491,,2015-03-30T10:00:01Z,Sensor1022,2014-10-24T18:00:01Z,,Maxim,iButton,,,67.0,
492,,2015-07-13T16:00:01Z,Sensor1023,2015-03-30T10:00:01Z,,Maxim,iButton,,,67.0,
493,,2014-03-15T20:30:01Z,Sensor1024,2013-09-26T06:00:01Z,,Maxim,iButton,,,68.0,
494,,2014-09-29T10:30:01Z,Sensor1025,2014-04-11T19:00:01Z,,Maxim,iButton,,,68.0,
495,,2015-03-30T10:00:01Z,Sensor1026,2014-10-24T18:00:01Z,,Maxim,iButton,,,68.0,
496,,2015-07-13T15:00:01Z,Sensor1027,2015-03-30T10:00:01Z,,Maxim,iButton,,,68.0,
